LOCUS_ID	CATEGORY	TRAIT	CHR	BP	MARKER	GENE
1	Blood pressure	PP	1	10796866	rs880315	CASZ1
1	Blood pressure	SBP	1	10796866	rs880315	CASZ1
1	Blood pressure	MAP	1	10796866	rs880315	CASZ1
1	Blood pressure	DBP	1	10796866	rs880315	CASZ1
2	Kidney-related	sCr	1	16316119	rs848302	ZBTB17,C1orf64
2	Kidney-related	eGFR	1	16316119	rs848302	ZBTB17,C1orf64
3	Kidney-related	eGFR	1	23692229	rs4525087	ZNF436
3	Kidney-related	sCr	1	23702384	rs9887774	ZNF436-AS1,TCEA3
4	Protein	AG	1	25286151	rs4648888	RUNX3
4	Protein	NAP	1	25286151	rs4648888	RUNX3
5	Hematological	WBC	1	36943916	rs3917932	CSF3R
5	Hematological	Neutro	1	36880829	rs2994007	LSM10,OSCP1
6	Metabolic	TC	1	62993403	rs61775910	DOCK7
6	Metabolic	TG	1	62965621	rs35529421	DOCK7
7	Hematological	Eosino	1	87752000	rs6684992	LOC101927844,LMO4
7	Hematological	Baso	1	87748885	rs6703781	LOC101927844,LMO4
8	Metabolic	LDL-C	1	109817838	rs660240	CELSR2
8	Metabolic	TC	1	109818530	rs646776	CELSR2
9	Liver-related	AST	1	110470764	rs333947	CSF1
9	Other biochemical	LDH	1	110470764	rs333947	CSF1
9	Protein	TP	1	110470764	rs333947	CSF1
9	Other biochemical	CK	1	110470764	rs333947	CSF1
10	Blood pressure	DBP	1	113044328	rs10776752	WNT2B
10	Electrolyte	K	1	113042822	rs12037987	WNT2B
10	Blood pressure	MAP	1	113046879	rs3790604	WNT2B
10	Blood pressure	SBP	1	113046879	rs3790604	WNT2B
11	Hematological	MCV	1	118258703	rs1578741	FAM46C,GDAP2
11	Hematological	MCH	1	118258703	rs1578741	FAM46C,GDAP2
12	Protein	AG	1	150595537	rs11204682	ENSA
12	Protein	NAP	1	150595537	rs11204682	ENSA
12	Protein	TP	1	150544093	rs6665912	ADAMTSL4-AS1
12	Hematological	Mono	1	150584103	rs4970966	MCL1,ENSA
13	Hematological	MCV	1	154150448	rs4620534	TPM3
13	Hematological	MCH	1	154161666	rs9700528	TPM3
14	Protein	TP	1	154286566	rs117744355	HAX1,AQP10
14	Protein	NAP	1	154286566	rs117744355	HAX1,AQP10
15	Kidney-related	eGFR	1	155197602	rs2990246	GBAP1
15	Kidney-related	BUN	1	155197268	rs2974929	GBAP1
15	Kidney-related	sCr	1	155197602	rs2990246	GBAP1
15	Kidney-related	UA	1	155162067	rs4072037	MUC1
16	Metabolic	HbA1c	1	156233189	rs2273833	SMG5
16	Hematological	MCHC	1	156218910	rs2241106	SMG5
16	Hematological	RBC	1	156283895	rs148046772	CCT3
16	Hematological	MCV	1	156283895	rs148046772	CCT3
17	Hematological	MCHC	1	158596438	rs2482963	SPTA1
17	Hematological	MCV	1	158618455	rs2246434	SPTA1
18	Liver-related	ZTT	1	161721351	rs7540096	DUSP12
18	Protein	AG	1	161714582	rs4657098	FCRLB,DUSP12
18	Hematological	WBC	1	161696998	rs1875763	FCRLB
18	Protein	NAP	1	161714573	rs4657097	FCRLB,DUSP12
19	Other biochemical	APTT	1	169487821	rs6013	F5
19	Other biochemical	PT	1	169487821	rs6013	F5
20	Kidney-related	eGFR	1	171455322	rs34720381	PRRC2C
20	Kidney-related	sCr	1	171455322	rs34720381	PRRC2C
21	Hematological	RBC	1	198581330	rs79112896	ATP6V1G3,PTPRC
21	Hematological	MCV	1	198547233	rs34544423	ATP6V1G3,PTPRC
21	Hematological	MCHC	1	198584022	rs28398409	ATP6V1G3,PTPRC
21	Hematological	MCH	1	198547233	rs34544423	ATP6V1G3,PTPRC
22	Hematological	Plt	1	199007208	rs7529925	LINC01221
22	Hematological	Baso	1	199000727	rs6427756	LINC01221
23	Hematological	Ht	1	214187262	rs366684	PROX1
23	Hematological	Hb	1	214187262	rs366684	PROX1
23	Hematological	RBC	1	214187262	rs366684	PROX1
24	Metabolic	HDL-C	1	230294916	rs2144300	GALNT2
24	Metabolic	TG	1	230294916	rs2144300	GALNT2
25	Metabolic	LDL-C	1	234852760	rs553427	LOC101927787,LINC01132
25	Metabolic	TC	1	234853268	rs557933	LOC101927787,LINC01132
26	Hematological	MCHC	1	248039451	rs3811444	TRIM58
26	Hematological	Plt	1	248036554	rs4925747	TRIM58
26	Hematological	MCV	1	248038210	rs35340377	TRIM58
27	Metabolic	LDL-C	2	20848192	rs75352129	HS1BP3
27	Metabolic	TC	2	20848192	rs75352129	HS1BP3
28	Blood pressure	DBP	2	26916844	rs35021474	KCNK3
28	Blood pressure	SBP	2	26920025	rs1731249	KCNK3
28	Blood pressure	PP	2	26920025	rs1731249	KCNK3
28	Blood pressure	MAP	2	26916844	rs35021474	KCNK3
28	Electrolyte	K	2	26916969	rs1275980	KCNK3
29	Liver-related	GGT	2	27730940	rs1260326	GCKR
29	Protein	Alb	2	27730940	rs1260326	GCKR
29	Other biochemical	PT	2	27748904	rs1313566	GCKR,C2orf16
29	Electrolyte	Cl	2	27734972	rs6547692	GCKR
29	Liver-related	AST	2	27781772	rs182700961	GCKR,C2orf16
29	Protein	AG	2	27748904	rs1313566	GCKR,C2orf16
29	Other biochemical	LDH	2	27734972	rs6547692	GCKR
29	Metabolic	BS	2	27730940	rs1260326	GCKR
29	Other biochemical	CK	2	27761436	rs4665988	GCKR,C2orf16
29	Metabolic	TC	2	27730940	rs1260326	GCKR
29	Kidney-related	sCr	2	27755825	rs4665987	GCKR,C2orf16
29	Protein	TP	2	27730940	rs1260326	GCKR
29	Kidney-related	UA	2	27730940	rs1260326	GCKR
29	Metabolic	TG	2	27730940	rs1260326	GCKR
29	Other biochemical	CRP	2	27743215	rs814295	GCKR
29	Hematological	Plt	2	27730940	rs1260326	GCKR
29	Hematological	WBC	2	27730940	rs1260326	GCKR
29	Kidney-related	eGFR	2	27730940	rs1260326	GCKR
30	Hematological	Ht	2	28019175	rs4666014	RBKS
30	Kidney-related	BUN	2	28024331	rs4630723	RBKS
31	Protein	NAP	2	33702203	rs13425999	RASGRP3
31	Protein	AG	2	33702203	rs13425999	RASGRP3
32	Metabolic	BS	2	45192080	rs12712928	SIX3,SIX2
32	Metabolic	HbA1c	2	45192080	rs12712928	SIX3,SIX2
33	Hematological	Hb	2	46360907	rs10168349	PRKCE
33	Hematological	RBC	2	46360907	rs10168349	PRKCE
33	Hematological	Ht	2	46360907	rs10168349	PRKCE
